ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
4.721505239560931e+44	101.044	6.502	130.558	67.53	1.2467150569858108	0	0	180	10	232	120	22	3	29	15	320	0	5.155897617340088	500	5.155897617340088	180	64.0	
9.625481041387184e+47	66.622	3.5137420718816066	43.8985200845666	22.7061310782241	0.8763292621150958	1	485	180	10.0	232.0	120.0	22	3.0	29.0	15.0	852	0	0.6405816078186035	1000	5.796479225158691	1733	-73.30000000000001	
1.78407155607054e+24	64.338	3.196	34.684	17.94	0.8763292621150958	2	726	180	7	145	75	22	3	29	15	1168	0	0.5790643692016602	1500	6.375543594360352	3457	-130.4666666666667	
2.6705625236775672e+39	66.092	3.314225053078556	38.11252653927813	19.713375796178344	0.21628866004299202	3	969	180	7.0	145.0	75.0	22	3.0	29.0	15.0	1737	0	0.5229682922363281	2000	6.89851188659668	5001	-150.05	
2.7476982615080413e+36	72.336	3.357429718875502	39.36546184738956	20.36144578313253	0.14419315768410232	4	1045	180	6.0	116.0	60.0	22	3.0	29.0	15.0	2314	0	0.66780686378479	2500	7.56631875038147	6711	-168.44	
1.1062602751813583e+48	62.68	3.26734693877551	36.7530612244898	19.010204081632654	0.14387527826825003	5	1175	90	6.0	116.0	60.0	22	3.0	29.0	15.0	2937	0	0.559159517288208	3000	8.125478267669678	8282	-176.06666666666666	
5.227692685646248e+36	55.982	3.109730848861284	32.18219461697723	16.645962732919255	0.14307653109621887	6	1306	90	6.0	116.0	60.0	22	3.0	29.0	15.0	3582	0	0.548882246017456	3500	8.674360513687134	9734	-178.1142857142857	
7.406893148138287e+43	54.686	3.1265560165975104	32.670124481327804	16.898340248962654	0.13843828266679986	7	1452	90	6.0	116.0	60.0	22	3.0	29.0	15.0	4314	0	0.5466561317443848	4000	9.221016645431519	11114	-177.85000000000002	
1.0794477351431155e+34	60.578	3.1673553719008263	33.853305785123965	17.510330578512395	0.13548613329772202	8	1602	90	6.0	116.0	60.0	22	3.0	29.0	15.0	4940	0	0.47595643997192383	4500	9.696973085403442	12597	-179.93333333333334	
1.4148734643489586e+33	61.556	3.133874239350913	32.88235294117647	17.00811359026369	0.11607619917426755	9	1663	90	6.0	116.0	60.0	22	3.0	29.0	15.0	5509	0	0.6047341823577881	5000	10.30170726776123	14157	-183.14	
1.0377006834672684e+35	62.93	3.1755102040816325	34.089795918367344	17.632653061224488	0.11607619917426755	10	1712	90	5.0	87.0	45.0	22	3.0	29.0	15.0	6271	0	0.5691981315612793	5500	10.87090539932251	15571	-183.10909090909087	
1.1074363244627153e+38	68.248	3.180722891566265	34.24096385542169	17.710843373493976	0.11607619917426755	11	1731	90	6.0	116.0	60.0	22	3.0	29.0	15.0	6930	0	0.5732591152191162	6000	11.444164514541626	17101	-185.01666666666665	
1.6054247767209173e+38	65.426	3.209255533199195	35.06841046277666	18.138832997987926	0.1149458069947301	12	1745	90	6.0	116.0	60.0	22	3.0	29.0	15.0	7616	0	0.5417499542236328	6500	11.985914468765259	18636	-186.7076923076923	
1.2008222883465124e+38	63.404	3.1902834008097165	34.51821862348178	17.85425101214575	0.1149458069947301	13	1789	90	6.0	116.0	60.0	22	3.0	29.0	15.0	8325	0	0.5958595275878906	7000	12.58177399635315	20158	-187.9714285714286	
8.312343310973248e+47	68.444	3.1995967741935485	34.788306451612904	17.993951612903224	0.1149458069947301	14	1813	90	6.0	116.0	60.0	22	3.0	29.0	15.0	8887	0	0.6007513999938965	7500	13.182525396347046	21792	-190.56	
1.5533535368821303e+40	65.16	3.1686746987951806	33.89156626506024	17.53012048192771	0.1149458069947301	15	1828	90	5.0	87.0	45.0	45	3.0	29.0	15.0	9505	0	0.6014025211334229	8000	13.783927917480469	23360	-192.0	
2.5163833782429594e+33	63.72	3.1555555555555554	33.51111111111111	17.333333333333332	0.1149458069947301	16	1859	90	5.0	87.0	45.0	45	3.0	29.0	15.0	10171	0	0.5609226226806641	8500	14.344850540161133	24877	-192.67058823529408	
2.679687557575002e+44	70.83	3.178714859437751	34.18273092369478	17.680722891566266	0.11469063179631912	17	1882	90	6.0	116.0	60.0	45	3.0	29.0	15.0	10720	0	0.6196959018707275	9000	14.96454644203186	26514	-194.60000000000002	
6.781753865506473e+36	69.48	3.1485943775100402	33.30923694779116	17.228915662650603	0.11469063179631912	18	1899	90	5.0	87.0	45.0	45	3.0	29.0	15.0	11279	0	0.5976443290710449	9500	15.562190771102905	28121	-196.01052631578943	
