,pop_size,cross_prob,mut_prob,max_genome_len,max_wraps,tournament,generation,phenotype,genotype,fitness,function,dir
0,500,0.9,0.1,500,1,5,1000,"+2.9E+4*KS(x[:,0], 9.9E-6,1.0E-9,None)+8.7E-1*KS(x[:,0], 9.9E-1,1.5E-1,None)","[779, 760, 1, 839, 678, 804, 755, 479, 393, 636, 567, 390, 9, 589, 905, 490, 244, 358, 97, 417, 741, 881, 149, 197, 941, 180, 155, 703, 511, 90, 74, 523, 372, 177, 16, 906, 618, 940, 243, 155, 503, 275, 134, 992, 822, 11, 249, 985, 897, 714, 578, 527, 800, 424, 125, 870, 155, 306, 816, 291, 899, 276, 394, 613, 943, 572, 221, 791, 480, 758, 686, 388, 417, 293, 510, 155, 921, 977, 211, 712, 667, 385, 993, 702, 294, 630, 162, 520, 120, 893]",0.04971246021043038,f3,results/results_f3_f4\DESKTOP-VN32QPK_23_8_23_170655_464236_7204_464236
1,500,0.9,0.1,500,1,5,1000,"+7.6E+2*KS(x[:,0], 5.1E-4,7.2E-4,None)","[796, 506, 375, 216, 402, 432, 751, 211, 271, 214, 591, 472, 883, 254, 503, 804, 424, 666, 733, 228, 830, 576]",0.32486064574648377,f3,results/results_f3_f4\DESKTOP-VN32QPK_23_8_23_170753_415026_12272_415026
2,500,0.9,0.1,500,1,5,1000,"+2.0E-0*KS(x[:,0], 4.4E-1,9.9E-2,None)-9.9E-2*KP(x[:,0], 7.6E+8,1.7E-9,0)+9.5E-2*KS(x[:,0], 4.9E+5,1.0E-9,None)","[767, 114, 874, 0, 557, 570, 12, 854, 331, 331, 26, 999, 449, 662, 648, 765, 993, 449, 459, 445, 702, 105, 86, 486, 388, 225, 717, 687, 79, 550, 796, 788, 458, 895, 419, 292, 705, 299, 686, 955, 351, 420, 127, 669, 749]",0.05950503541840611,f3,results/results_f3_f4\DESKTOP-VN32QPK_23_8_23_170934_504877_2256_504877
3,500,0.9,0.1,500,1,5,1000,"+9.9E+5*KS(x[:,0], 3.8E-7,4.8E-7,None)-4.9E-1*KG(x[:,0], 2.0E+1,3.6E-9,None)+9.5E+0*KS(x[:,0], 9.8E-5,1.2E-2,None)","[755, 612, 170, 269, 434, 105, 209, 278, 861, 197, 480, 658, 809, 707, 344, 97, 299, 588, 599, 193, 271, 109, 420, 410, 691, 245, 656, 841, 399, 36, 118, 756, 386, 355, 750, 30, 251, 988, 61, 475, 711, 872, 905, 972, 229]",0.05089190815513407,f3,results/results_f3_f4\DESKTOP-VN32QPK_23_8_23_171003_353983_7680_353983
4,500,0.9,0.1,500,1,5,1000,"+7.6E+6*KS(x[:,0], 5.0E-8,7.6E-8,None)-4.8E-1*KG(x[:,0], 2.1E+1,1.0E-9,None)","[605, 362, 546, 476, 298, 416, 670, 1000, 147, 488, 357, 446, 55, 478, 981, 360, 69, 930, 798, 217, 321, 91, 241, 468, 701, 414, 320, 709, 119, 663, 162, 269, 406, 919, 387, 958, 391, 996, 390, 386, 370, 820, 760, 861, 137]",0.053091418799914254,f3,results/results_f3_f4\DESKTOP-VN32QPK_23_8_23_171205_661054_9684_661054
5,500,0.9,0.1,500,1,5,1000,"-9.8E-2*KG(x[:,0], 1.9E-1,3.9E-1,None)+6.1E-1*KG(x[:,0], 2.7E+0,6.5E-1,None)","[895, 305, 557, 38, 159, 842, 45, 29, 163, 481, 398, 329, 117, 721, 59, 756, 260, 590, 141, 237, 291, 919, 367, 446, 250, 806, 185, 113, 791, 19, 517, 424, 828, 169, 487, 587, 389, 509, 616, 775, 371, 333, 31, 431, 974, 270, 806, 943, 189, 487, 608, 553, 769, 132, 111, 808, 367, 873, 937, 368, 452, 352, 137, 636, 19, 593, 680, 176, 18, 475, 543, 510, 980, 288, 203, 495, 754, 49, 646, 825, 239, 368, 360, 88, 339, 422, 979, 51, 261, 194]",0.031172611599161824,f4,results/results_f3_f4\DESKTOP-VN32QPK_23_8_23_171229_167838_15268_167838
6,500,0.9,0.1,500,1,5,1000,"+5.4E-1*KG(x[:,0], 4.0E-0,6.5E-1,None)","[294, 798, 643, 344, 893, 471, 273, 470, 429, 780, 266, 485, 375, 861, 85, 967, 577, 32, 866, 353, 689, 357, 378, 203, 948, 570, 497, 28, 540, 499, 475, 490, 70, 563, 942, 591, 534, 516, 551, 506, 500, 486, 198, 202, 282, 88, 479, 805, 147, 482, 959, 280, 772, 876, 913, 784, 764, 805, 711, 921, 408, 910, 253, 870, 707, 361, 513]",0.11379568124266667,f4,results/results_f3_f4\DESKTOP-VN32QPK_23_8_23_171445_824374_14620_824374
7,500,0.9,0.1,500,1,5,1000,"+7.8E-2*KG(x[:,0], 1.4E+0,1.0E-9,None)","[894, 550, 402, 838, 297, 972, 666, 984, 254, 180, 189, 920, 301, 149, 32, 958, 240, 261, 282, 157, 699, 33]",1.119276663962726,f4,results/results_f3_f4\DESKTOP-VN32QPK_23_8_23_171522_811317_14848_811317
8,500,0.9,0.1,500,1,5,1000,"-1.2E-1*KG(x[:,0], 2.7E+0,2.2E+0,None)+5.1E-1*KG(x[:,0], 3.8E-0,6.6E-1,None)+9.9E-3*KS(x[:,0], 7.0E+8,1.0E-9,None)","[127, 709, 855, 402, 67, 691, 127, 67, 664, 360, 811, 182, 60, 510, 853, 775, 14, 193, 921, 573, 971, 209, 518, 387, 610, 302, 976, 317, 341, 256, 856, 66, 188, 169, 739, 743, 591, 960, 774, 948, 441, 530, 387, 559, 686, 439, 326, 851, 654, 909, 155, 628, 402, 342, 426, 271, 651, 453, 971, 81, 888, 462, 357, 764, 544, 795, 168]",0.019091823078039694,f4,results/results_f3_f4\DESKTOP-VN32QPK_23_8_23_171657_126046_7536_126046
9,500,0.9,0.1,500,1,5,1000,"+5.9E-1*KG(x[:,0], 3.0E+0,6.4E-1,None)-7.5E-2*KG(x[:,0], 1.5E-1,9.2E-2,None)","[955, 386, 454, 779, 723, 291, 830, 240, 712, 470, 518, 134, 49, 711, 592, 414, 789, 807, 915, 221, 472, 846, 955, 855, 841, 800, 332, 549, 22, 241, 818, 768, 398, 778, 231, 770, 860, 98, 105, 712, 741, 283, 260, 673, 642, 802, 133, 489, 920, 341, 524, 842, 744, 514, 441, 898, 889, 820, 193, 736, 500, 182, 545, 881, 474, 742, 857, 474, 126, 896, 910, 103, 923, 446, 375, 774, 66, 295, 449, 737, 46, 506, 960, 503, 198, 162, 793, 395, 857, 327, 284, 992, 948, 119, 557, 755, 676, 903, 66, 562, 168, 284, 827, 546, 740, 861, 417, 504, 27, 869, 358, 184]",0.034063297566146844,f4,results/results_f3_f4\DESKTOP-VN32QPK_23_8_23_171915_702069_8564_702069
