ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
3.1881682740378815e+46	101.136	6.506	130.674	67.59	8.629790423266446	0	0	180	10	232	120	22	3	29	15	284	0	8.57798981666565	500	8.57798981666565	216	56.8	
2.3133622586493527e+46	64.67	3.8370165745856353	53.273480662983424	27.555248618784532	5.142527291838631	1	138	180	9.0	203.0	105.0	22	3.0	29.0	15.0	365	0	0.12221240997314453	1000	8.700202226638794	467	53.3	
1.6278487662159086e+40	68.864	3.3153347732181424	38.144708423326136	19.73002159827214	5.142527291838631	2	175	180	9.0	203.0	105.0	22	3.0	29.0	15.0	394	0	0.10899615287780762	1500	8.809198379516602	767	48.86666666666667	
1.1399833212079798e+40	75.942	3.1816283924843423	34.26722338204593	17.724425887265134	5.008380970364001	3	197	180	8.0	174.0	90.0	22	3.0	29.0	15.0	419	0	0.10181498527526855	2000	8.91101336479187	1073	46.35	
2.845478664196316e+30	73.35	3.1020408163265305	31.959183673469386	16.53061224489796	2.9705501589410583	4	208	180	8.0	174.0	90.0	22	3.0	29.0	15.0	436	0	0.10746574401855469	2500	9.018479108810425	1393	44.279999999999994	
2.9628073192092316e+40	80.4	3.103448275862069	32.0	16.551724137931036	2.652729218560132	5	216	180	7.0	145.0	75.0	22	3.0	29.0	15.0	451	0	0.08645486831665039	3000	9.104933977127075	1685	43.833333333333336	
1.5034202830393348e+40	91.142	3.105906313645621	32.07128309572301	16.58859470468432	2.4364040855306013	6	225	180	7.0	145.0	75.0	22	3.0	29.0	15.0	472	0	0.09259963035583496	3500	9.19753360748291	1992	43.08571428571428	
1.4752311449953824e+40	91.596	3.0764587525150904	31.217303822937627	16.14688128772636	1.8056859026990357	7	228	180	8.0	174.0	90.0	22	3.0	29.0	15.0	490	0	0.09351658821105957	4000	9.29105019569397	2279	43.025000000000006	
4.496341298057084e+20	92.142	3.0521042084168335	30.511022044088175	15.781563126252506	1.4422918543563148	8	229	180	7.0	145.0	75.0	22	3.0	29.0	15.0	498	0	0.09888291358947754	4500	9.389933109283447	2583	42.6	
1.4451243867474595e+40	84.964	3.106425702811245	32.0863453815261	16.596385542168676	1.3497613175556764	9	232	180	8.0	174.0	90.0	22	3.0	29.0	15.0	506	0	0.1007547378540039	5000	9.490687847137451	2898	42.04	
1.4570184141790254e+40	80.558	3.064516129032258	30.870967741935484	15.96774193548387	1.3256649286900433	10	237	180	6.0	116.0	60.0	22	3.0	29.0	15.0	516	0	0.08751201629638672	5500	9.578199863433838	3189	42.01818181818182	
2.8668459557839594e+40	92.196	3.080482897384306	31.334004024144868	16.207243460764587	1.2788475110418185	11	240	180	7.0	145.0	75.0	22	3.0	29.0	15.0	520	0	0.08890771865844727	6000	9.667107582092285	3490	41.833333333333336	
1.454026589919931e+40	90.808	3.07085020242915	31.054655870445345	16.062753036437247	1.2311510740224487	12	247	180	7.0	145.0	75.0	22	3.0	29.0	15.0	527	0	0.09227323532104492	6500	9.75938081741333	3775	41.92307692307692	
9.592353971698097e+31	86.214	3.0404858299595143	30.17408906882591	15.607287449392713	1.1524738641324368	13	254	180	7.0	145.0	75.0	22	3.0	29.0	15.0	529	0	0.08541655540466309	7000	9.844797372817993	4056	42.05714285714286	
1.4276430429254177e+40	87.428	3.056112224448898	30.627254509018037	15.841683366733466	0.994801833515272	14	256	180	7.0	145.0	75.0	22	3.0	29.0	15.0	532	0	0.08943676948547363	7500	9.934234142303467	4329	42.279999999999994	
1.4392498969329404e+40	83.194	3.0625	30.8125	15.9375	0.9125327827784306	15	261	180	7.0	145.0	75.0	22	3.0	29.0	15.0	536	0	0.10582780838012695	8000	10.040061950683594	4625	42.1875	
1.4480796645743886e+40	77.862	3.0707070707070705	31.050505050505052	16.060606060606062	0.7325862656033179	16	267	180	6.0	116.0	60.0	22	3.0	29.0	15.0	542	0	0.08635330200195312	8500	10.126415252685547	4889	42.48235294117647	
1.4392499235894653e+40	79.35	3.1144578313253013	32.31927710843374	16.716867469879517	0.624854348923582	17	270	180	6.0	116.0	60.0	22	3.0	29.0	15.0	548	0	0.11500310897827148	9000	10.241418361663818	5172	42.53333333333333	
1.454026589919931e+40	91.852	3.092741935483871	31.68951612903226	16.391129032258064	0.624854348923582	18	275	180	6.0	116.0	60.0	22	3.0	29.0	15.0	557	0	0.08846044540405273	9500	10.329878807067871	5436	42.77894736842105	
